"place_id","place_en","place_es","planned_category","zone","app_catalog_status","requested_filename","current_app_image","image_status","image_needed","recommended_asset_count","copy_status","coordinates_status","source_url","source_or_author_to_fill","license_or_permission","notes"
"salomon-center","Salomon Center","Salomon Center","attraction","Ogden / Northern Utah","Candidate — not active","salomon-center.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitogden.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"weber-state-university","Weber State University","Universidad Estatal de Weber","university","Ogden / Northern Utah","Candidate — not active","weber-state-university.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.weber.edu/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"ogden-canyon","Ogden Canyon","Cañón Ogden","mountain","Ogden / Northern Utah","Candidate — not active","ogden-canyon.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.fs.usda.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"pineview-reservoir","Pineview Reservoir","Embalse Pineview","nature","Ogden / Northern Utah","Candidate — not active","pineview-reservoir.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitogden.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"fielding-garr-ranch","Fielding Garr Ranch","Rancho Fielding Garr","history","Great Salt Lake / West Desert","Candidate — not active","fielding-garr-ranch.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://stateparks.utah.gov/parks/antelope-island/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"saltair","Saltair","Saltair","culture","Great Salt Lake / West Desert","Candidate — not active","saltair.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://saltairutah.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"spiral-jetty","Spiral Jetty","Spiral Jetty","art","Great Salt Lake / West Desert","Candidate — not active","spiral-jetty.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.utah.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"bonneville-salt-flats","Bonneville Salt Flats","Llanuras Saladas de Bonneville","nature","Great Salt Lake / West Desert","Candidate — not active","bonneville-salt-flats.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://stateparks.utah.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"farmington-bay","Farmington Bay Waterfowl Management Area","Área de Manejo de Aves Acuáticas Farmington Bay","nature","Great Salt Lake / West Desert","Candidate — not active","farmington-bay.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitutah.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"bountiful","Bountiful","Bountiful","city","Salt Lake corridor","Candidate — not active","bountiful.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitutah.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"kaysville","Kaysville","Kaysville","city","Ogden / Northern Utah","Candidate — not active","kaysville.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitutah.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"layton","Layton","Layton","city","Ogden / Northern Utah","Candidate — not active","layton.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitutah.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"station-park-farmington","Station Park Farmington","Station Park Farmington","shopping","Ogden / Northern Utah","Candidate — not active","station-park-farmington.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.stationpark.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"city-creek-center","City Creek Center","City Creek Center","shopping","Salt Lake corridor","Candidate — not active","city-creek-center.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.shopcitycreekcenter.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"trolley-square","Trolley Square","Trolley Square","shopping","Salt Lake corridor","Candidate — not active","trolley-square.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.trolleysquare.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"900-south-historic-district","900 South Historic District","Distrito Histórico de 900 South","neighborhood","Salt Lake corridor","Candidate — not active","900-south-historic-district.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.slc.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"sugar-house","Sugar House","Sugar House","neighborhood","Salt Lake corridor","Candidate — not active","sugar-house.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.slc.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"holladay","Holladay","Holladay","city","Salt Lake corridor","Candidate — not active","holladay.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.holladayut.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"draper","Draper","Draper","city","Salt Lake corridor","Candidate — not active","draper.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.draperutah.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"sandy","Sandy","Sandy","city","Salt Lake corridor","Candidate — not active","sandy.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.sandy.utah.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"mountain-dell-reservoir","Mountain Dell Reservoir","Embalse Mountain Dell","nature","Salt Lake corridor","Candidate — not active","mountain-dell-reservoir.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.slc.gov/parks/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"emigration-canyon","Emigration Canyon","Cañón Emigration","mountain","Salt Lake corridor","Candidate — not active","emigration-canyon.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.fs.usda.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"thanksgiving-point","Thanksgiving Point","Thanksgiving Point","attraction","Utah County","Candidate — not active","thanksgiving-point.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.thanksgivingpoint.org/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"loveland-living-planet-aquarium","Loveland Living Planet Aquarium","Acuario Loveland Living Planet","attraction","Utah County","Candidate — not active","loveland-living-planet-aquarium.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://livingplanetaquarium.org/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"provo","Provo","Provo","city","Utah County","Candidate — not active","provo.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.provo.org/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"brigham-young-university","Brigham Young University","Universidad Brigham Young","university","Utah County","Candidate — not active","brigham-young-university.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.byu.edu/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
